Session: 320,Game:,Wingman,User:,Survivor3
Game No.:,0
Day:,15,Month:,Feb,Year:,2017
Track:,Forest,Speed:,fast,Time:,30 (sec),
Target Angle:,42,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,64.742,False
2,0,53.798,True
3,9,40.221,True
4,8,39.987,True
5,0,29.126,True
6,0,26.487,False
7,0,19.157,True
8,0,69.842,True
9,1,51.008,True
10,6,37.004,True
11,3,34.494,True
12,0,24.061,True
13,0,22.154,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
0.006,-0.014 | 6.665 | 0.025,0.041 | 6.462 | 0.060,-0.078 | 6.354 | 0.093,0.220 | 6.591 | -0.016,-0.178 | 6.543 | 0.001,12.420,24.304,2017-02-15 11:43:56,1,316
0.008,-0.015 | 6.664 | 0.028,0.028 | 6.463 | 0.073,-0.104 | 6.351 | 0.111,0.202 | 6.584 | -0.025,-0.179 | 6.543 | 0.002,12.418,19.932,2017-02-15 11:43:57,1,316
0.009,-0.015 | 6.664 | 0.029,0.051 | 6.473 | 0.085,-0.171 | 6.432 | 0.208,0.222 | 6.591 | -0.022,-0.193 | 6.544 | 0.005,15.754,26.049,2017-02-15 11:43:57,1,316
0.012,-0.011 | 6.662 | 0.033,0.080 | 6.483 | 0.097,-0.263 | 6.635 | 0.199,0.247 | 6.602 | -0.014,-0.231 | 6.567 | -0.021,26.594,33.109,2017-02-15 11:43:57,1,316
0.014,-0.008 | 6.661 | 0.034,0.088 | 6.490 | 0.109,-0.099 | 6.445 | 0.150,0.255 | 6.602 | -0.008,-0.232 | 6.568 | 0.003,27.179,34.849,2017-02-15 11:43:57,1,316
0.012,-0.009 | 6.662 | 0.033,0.083 | 6.503 | 0.116,0.004 | 6.403 | 0.110,0.254 | 6.600 | -0.009,-0.153 | 6.546 | 0.014,6.364,34.603,2017-02-15 11:43:58,1,316
0.013,-0.009 | 6.663 | 0.033,0.089 | 6.516 | 0.119,0.007 | 6.380 | 0.096,0.253 | 6.605 | -0.021,-0.140 | 6.536 | 0.005,5.286,32.821,2017-02-15 11:43:58,1,316
0.014,-0.008 | 6.663 | 0.034,0.094 | 6.515 | 0.118,-0.013 | 6.372 | 0.090,0.255 | 6.607 | -0.023,-0.154 | 6.534 | -0.001,9.295,33.121,2017-02-15 11:43:58,1,316
0.014,-0.008 | 6.663 | 0.035,0.104 | 6.516 | 0.119,-0.019 | 6.372 | 0.088,0.264 | 6.614 | -0.020,-0.160 | 6.534 | -0.002,10.974,35.855,2017-02-15 11:43:58,1,316
0.014,-0.008 | 6.663 | 0.035,0.153 | 6.529 | 0.120,-0.018 | 6.373 | 0.087,0.311 | 6.670 | 0.023,-0.162 | 6.535 | -0.001,11.426,54.586,2017-02-15 11:43:58,1,316
0.015,-0.006 | 6.663 | 0.036,0.165 | 6.555 | 0.133,-0.018 | 6.375 | 0.087,0.327 | 6.694 | 0.038,-0.162 | 6.537 | 0.000,11.503,62.423,2017-02-15 11:43:59,1,316
0.016,-0.004 | 6.663 | 0.036,0.138 | 6.567 | 0.153,-0.009 | 6.381 | 0.088,0.303 | 6.643 | 0.007,-0.157 | 6.538 | 0.002,10.768,48.092,2017-02-15 11:43:59,1,316
0.017,-0.004 | 6.663 | 0.037,0.093 | 6.553 | 0.151,0.018 | 6.433 | 0.109,0.251 | 6.597 | -0.016,-0.161 | 6.538 | 0.003,11.550,30.347,2017-02-15 11:43:59,1,316
0.018,-0.006 | 6.662 | 0.038,0.068 | 6.507 | 0.115,0.034 | 6.501 | 0.108,0.242 | 6.593 | -0.014,-0.170 | 6.540 | 0.004,13.278,28.574,2017-02-15 11:43:59,1,316
0.018,-0.008 | 6.662 | 0.038,0.047 | 6.509 | 0.108,0.022 | 6.488 | 0.102,0.228 | 6.587 | -0.016,-0.180 | 6.543 | 0.000,14.784,25.463,2017-02-15 11:43:59,1,316
0.018,-0.009 | 6.662 | 0.038,0.031 | 6.511 | 0.102,0.012 | 6.481 | 0.099,0.216 | 6.583 | -0.020,-0.186 | 6.547 | -0.004,15.533,22.865,2017-02-15 11:44:00,1,316
0.017,-0.009 | 6.662 | 0.038,0.040 | 6.506 | 0.097,-0.082 | 6.377 | 0.113,0.226 | 6.588 | -0.018,-0.185 | 6.549 | -0.006,15.175,25.975,2017-02-15 11:44:00,1,316
0.016,-0.008 | 6.662 | 0.036,0.121 | 6.509 | 0.088,-0.125 | 6.338 | 0.091,0.288 | 6.638 | -0.011,-0.182 | 6.546 | 0.002,14.425,46.230,2017-02-15 11:44:00,1,316
0.015,-0.008 | 6.662 | 0.034,0.155 | 6.559 | 0.084,-0.150 | 6.317 | 0.068,0.325 | 6.693 | -0.004,-0.174 | 6.542 | 0.011,12.747,62.786,2017-02-15 11:44:00,1,316
0.015,-0.007 | 6.663 | 0.033,0.152 | 6.581 | 0.081,-0.121 | 6.333 | 0.116,0.329 | 6.705 | -0.005,-0.169 | 6.537 | 0.013,12.870,64.742,2017-02-15 11:44:01,1,316
0.016,-0.006 | 6.663 | 0.032,0.147 | 6.591 | 0.081,-0.132 | 6.322 | 0.096,0.330 | 6.707 | -0.004,-0.170 | 6.535 | 0.009,14.251,64.482,2017-02-15 11:44:01,2,316
0.015,-0.006 | 6.663 | 0.031,0.141 | 6.592 | 0.082,-0.131 | 6.321 | 0.090,0.327 | 6.700 | -0.009,-0.173 | 6.534 | 0.007,15.201,62.112,2017-02-15 11:44:01,2,316
0.015,-0.007 | 6.663 | 0.031,0.071 | 6.577 | 0.114,-0.134 | 6.320 | 0.073,0.246 | 6.604 | -0.038,-0.183 | 6.537 | 0.001,17.769,29.571,2017-02-15 11:44:01,2,316
0.016,-0.008 | 6.663 | 0.032,0.025 | 6.527 | 0.101,-0.120 | 6.345 | 0.085,0.203 | 6.581 | -0.039,-0.198 | 6.544 | -0.008,21.097,17.770,2017-02-15 11:44:01,2,316
0.018,-0.008 | 6.662 | 0.034,0.008 | 6.515 | 0.094,-0.185 | 6.326 | 0.049,0.196 | 6.576 | -0.030,-0.206 | 6.550 | -0.013,22.381,16.200,2017-02-15 11:44:02,2,316
0.018,-0.008 | 6.662 | 0.035,-0.001 | 6.508 | 0.083,-0.182 | 6.333 | 0.046,0.195 | 6.573 | -0.026,-0.210 | 6.555 | -0.019,22.952,16.349,2017-02-15 11:44:02,2,316
0.018,-0.008 | 6.662 | 0.035,-0.002 | 6.506 | 0.077,-0.230 | 6.336 | 0.060,0.196 | 6.573 | -0.025,-0.218 | 6.557 | -0.012,24.840,16.967,2017-02-15 11:44:02,2,316
0.017,-0.010 | 6.662 | 0.033,-0.007 | 6.520 | 0.078,-0.127 | 6.386 | 0.107,0.194 | 6.575 | -0.027,-0.263 | 6.572 | 0.073,36.447,16.880,2017-02-15 11:44:02,2,316
0.018,-0.011 | 6.663 | 0.032,0.008 | 6.531 | 0.103,-0.033 | 6.530 | 0.172,0.198 | 6.578 | -0.024,-0.226 | 6.552 | 0.043,25.029,18.702,2017-02-15 11:44:02,2,316
0.020,-0.010 | 6.662 | 0.035,0.094 | 6.512 | 0.100,0.006 | 6.506 | 0.127,0.267 | 6.621 | -0.012,-0.190 | 6.548 | 0.007,16.064,39.175,2017-02-15 11:44:03,2,316
