Session: 318,Game:,Wingman,User:,Survivor3
Game No.:,0
Day:,15,Month:,Feb,Year:,2017
Track:,Forest,Speed:,fast,Time:,30 (sec),
Target Angle:,43,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,59.609,True
2,0,18.076,False
3,0,54.697,True
4,4,49.148,False
5,0,55.338,False
6,0,21.320,False
7,0,16.879,False
8,7,46.795,False
9,3,50.219,True
10,0,57.314,False
11,10,42.893,True
12,8,45.280,True
13,0,30.911,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
0.117,-0.004 | 6.634 | 0.132,0.097 | 6.286 | 0.138,-0.113 | 6.328 | 0.145,0.171 | 6.501 | 0.088,-0.180 | 6.533 | 0.056,10.338,17.782,2017-02-15 11:30:08,1,314
0.118,-0.003 | 6.634 | 0.133,0.161 | 6.271 | 0.056,-0.187 | 6.299 | 0.081,0.168 | 6.504 | 0.067,-0.176 | 6.530 | 0.052,9.897,17.331,2017-02-15 11:30:09,1,314
0.118,-0.006 | 6.631 | 0.133,0.183 | 6.284 | -0.008,-0.208 | 6.303 | 0.001,0.171 | 6.511 | 0.045,-0.183 | 6.531 | 0.042,11.963,19.418,2017-02-15 11:30:09,1,314
0.116,-0.008 | 6.630 | 0.131,0.179 | 6.316 | -0.082,-0.189 | 6.316 | -0.037,0.173 | 6.520 | 0.031,-0.190 | 6.542 | 0.022,14.685,20.707,2017-02-15 11:30:09,1,314
0.115,-0.009 | 6.630 | 0.130,0.172 | 6.340 | -0.117,-0.181 | 6.326 | -0.052,0.173 | 6.524 | 0.027,-0.191 | 6.550 | 0.012,15.491,20.979,2017-02-15 11:30:09,1,314
0.115,-0.008 | 6.630 | 0.131,0.173 | 6.343 | -0.120,-0.176 | 6.329 | -0.054,0.173 | 6.524 | 0.026,-0.190 | 6.552 | 0.010,15.240,20.969,2017-02-15 11:30:09,1,314
0.115,-0.008 | 6.629 | 0.130,0.176 | 6.337 | -0.113,-0.173 | 6.327 | -0.053,0.175 | 6.521 | 0.029,-0.188 | 6.551 | 0.010,14.997,20.994,2017-02-15 11:30:10,1,314
0.112,-0.007 | 6.627 | 0.127,0.177 | 6.316 | -0.087,-0.172 | 6.324 | -0.051,0.176 | 6.517 | 0.031,-0.188 | 6.549 | 0.010,15.125,20.955,2017-02-15 11:30:10,1,314
0.121,-0.005 | 6.632 | 0.138,0.162 | 6.303 | 0.108,-0.171 | 6.329 | -0.041,0.176 | 6.525 | 0.036,-0.190 | 6.553 | 0.021,16.036,20.620,2017-02-15 11:30:10,1,314
0.135,-0.011 | 6.634 | 0.152,0.094 | 6.386 | 0.191,-0.172 | 6.333 | -0.033,0.201 | 6.538 | 0.050,-0.193 | 6.556 | 0.032,16.017,28.872,2017-02-15 11:30:10,1,314
0.140,-0.018 | 6.635 | 0.157,0.100 | 6.468 | 0.212,-0.179 | 6.335 | -0.033,0.269 | 6.576 | 0.093,-0.199 | 6.557 | 0.035,17.185,49.457,2017-02-15 11:30:10,1,314
0.139,-0.019 | 6.636 | 0.156,0.117 | 6.520 | 0.240,-0.193 | 6.325 | 0.006,0.302 | 6.610 | 0.130,-0.202 | 6.556 | 0.036,18.418,60.199,2017-02-15 11:30:11,1,314
0.138,-0.018 | 6.636 | 0.155,0.121 | 6.539 | 0.254,-0.202 | 6.326 | 0.104,0.316 | 6.626 | 0.159,-0.203 | 6.552 | 0.044,18.709,64.712,2017-02-15 11:30:11,1,314
0.138,-0.016 | 6.636 | 0.154,0.123 | 6.549 | 0.267,-0.112 | 6.366 | 0.204,0.317 | 6.627 | 0.165,-0.212 | 6.538 | 0.082,20.177,64.595,2017-02-15 11:30:11,1,314
0.147,-0.015 | 6.636 | 0.161,0.123 | 6.548 | 0.272,-0.004 | 6.448 | 0.210,0.314 | 6.626 | 0.164,-0.213 | 6.526 | 0.144,20.308,61.011,2017-02-15 11:30:11,1,314
0.152,-0.015 | 6.638 | 0.165,0.125 | 6.539 | 0.263,0.024 | 6.444 | 0.190,0.315 | 6.630 | 0.163,-0.196 | 6.519 | 0.171,15.584,60.727,2017-02-15 11:30:12,1,314
0.154,-0.014 | 6.638 | 0.166,0.123 | 6.537 | 0.255,0.029 | 6.433 | 0.191,0.313 | 6.629 | 0.158,-0.188 | 6.516 | 0.174,13.495,60.139,2017-02-15 11:30:12,1,314
0.153,-0.014 | 6.638 | 0.165,0.115 | 6.534 | 0.252,0.033 | 6.431 | 0.193,0.309 | 6.622 | 0.157,-0.184 | 6.515 | 0.173,12.216,58.118,2017-02-15 11:30:12,1,314
0.152,-0.014 | 6.639 | 0.164,0.120 | 6.534 | 0.250,0.042 | 6.435 | 0.193,0.311 | 6.627 | 0.153,-0.176 | 6.514 | 0.173,10.338,59.273,2017-02-15 11:30:12,1,314
0.151,-0.014 | 6.639 | 0.163,0.121 | 6.540 | 0.250,0.046 | 6.436 | 0.192,0.311 | 6.630 | 0.151,-0.173 | 6.513 | 0.172,9.412,59.722,2017-02-15 11:30:12,1,314
0.151,-0.014 | 6.640 | 0.163,0.120 | 6.540 | 0.251,0.046 | 6.436 | 0.192,0.311 | 6.630 | 0.151,-0.173 | 6.513 | 0.171,9.358,59.609,2017-02-15 11:30:12,1,314
0.150,-0.014 | 6.640 | 0.162,0.107 | 6.531 | 0.249,0.037 | 6.430 | 0.189,0.300 | 6.613 | 0.147,-0.180 | 6.515 | 0.167,10.985,54.587,2017-02-15 11:30:13,2,314
0.150,-0.015 | 6.640 | 0.163,0.049 | 6.499 | 0.237,-0.018 | 6.422 | 0.192,0.255 | 6.561 | 0.147,-0.218 | 6.530 | 0.140,19.878,39.620,2017-02-15 11:30:13,2,314
0.151,-0.015 | 6.639 | 0.164,0.019 | 6.426 | 0.205,-0.069 | 6.436 | 0.187,0.223 | 6.531 | 0.164,-0.249 | 6.559 | 0.105,27.345,32.358,2017-02-15 11:30:13,2,314
0.153,-0.013 | 6.638 | 0.166,0.005 | 6.384 | 0.172,-0.103 | 6.426 | 0.181,0.200 | 6.512 | 0.177,-0.252 | 6.578 | 0.085,28.981,27.039,2017-02-15 11:30:13,2,314
0.155,-0.012 | 6.637 | 0.167,-0.037 | 6.420 | 0.180,-0.115 | 6.425 | 0.179,0.182 | 6.498 | 0.174,-0.250 | 6.586 | 0.078,28.079,23.692,2017-02-15 11:30:13,2,314
0.154,-0.012 | 6.637 | 0.166,-0.041 | 6.405 | 0.160,-0.116 | 6.434 | 0.177,0.175 | 6.493 | 0.164,-0.253 | 6.592 | 0.073,28.795,22.759,2017-02-15 11:30:14,2,314
0.153,-0.010 | 6.636 | 0.165,-0.029 | 6.379 | 0.137,-0.112 | 6.443 | 0.174,0.175 | 6.490 | 0.157,-0.250 | 6.599 | 0.069,29.157,22.808,2017-02-15 11:30:14,2,314
0.152,-0.009 | 6.636 | 0.165,-0.025 | 6.370 | 0.127,-0.109 | 6.447 | 0.173,0.174 | 6.488 | 0.155,-0.249 | 6.601 | 0.067,29.101,22.344,2017-02-15 11:30:14,2,314
0.152,-0.009 | 6.636 | 0.164,0.032 | 6.313 | 0.088,-0.126 | 6.432 | 0.171,0.171 | 6.488 | 0.153,-0.249 | 6.601 | 0.068,29.082,21.879,2017-02-15 11:30:14,2,314
0.151,-0.009 | 6.636 | 0.164,0.008 | 6.318 | 0.098,-0.138 | 6.438 | 0.154,0.161 | 6.486 | 0.149,-0.265 | 6.614 | 0.069,34.390,19.709,2017-02-15 11:30:14,2,314
0.151,-0.009 | 6.636 | 0.164,-0.046 | 6.367 | 0.124,-0.130 | 6.452 | 0.152,0.154 | 6.484 | 0.151,-0.269 | 6.620 | 0.068,35.990,18.076,2017-02-15 11:30:15,2,314
0.151,-0.009 | 6.636 | 0.164,-0.043 | 6.358 | 0.117,-0.119 | 6.453 | 0.157,0.150 | 6.483 | 0.154,-0.260 | 6.614 | 0.064,32.716,17.565,2017-02-15 11:30:15,3,314
0.151,-0.009 | 6.636 | 0.164,-0.033 | 6.358 | 0.119,-0.111 | 6.446 | 0.164,0.160 | 6.483 | 0.158,-0.249 | 6.605 | 0.063,28.457,20.074,2017-02-15 11:30:15,3,314
0.151,-0.009 | 6.636 | 0.164,0.067 | 6.375 | 0.203,-0.021 | 6.481 | 0.179,0.248 | 6.516 | 0.162,-0.215 | 6.570 | 0.084,15.686,43.466,2017-02-15 11:30:15,3,314
0.151,-0.008 | 6.636 | 0.164,0.142 | 6.474 | 0.217,0.037 | 6.458 | 0.181,0.324 | 6.603 | 0.148,-0.176 | 6.535 | 0.127,6.312,67.987,2017-02-15 11:30:15,3,314
0.149,-0.005 | 6.637 | 0.162,0.144 | 6.508 | 0.209,0.047 | 6.428 | 0.174,0.330 | 6.620 | 0.125,-0.162 | 6.525 | 0.138,5.598,68.257,2017-02-15 11:30:16,3,314
0.149,-0.004 | 6.637 | 0.162,0.129 | 6.502 | 0.204,0.057 | 6.444 | 0.143,0.317 | 6.606 | 0.113,-0.162 | 6.523 | 0.140,6.845,61.196,2017-02-15 11:30:16,3,314
0.146,0.001 | 6.638 | 0.160,0.128 | 6.487 | 0.195,0.067 | 6.453 | 0.137,0.317 | 6.593 | 0.107,-0.155 | 6.523 | 0.138,6.042,59.227,2017-02-15 11:30:16,3,314
0.145,0.004 | 6.638 | 0.159,0.135 | 6.479 | 0.188,0.070 | 6.454 | 0.136,0.323 | 6.593 | 0.109,-0.153 | 6.523 | 0.134,6.260,60.546,2017-02-15 11:30:16,3,314
0.146,0.003 | 6.638 | 0.159,0.126 | 6.477 | 0.188,0.064 | 6.459 | 0.135,0.318 | 6.587 | 0.115,-0.160 | 6.524 | 0.131,8.038,58.637,2017-02-15 11:30:17,3,314
0.146,0.004 | 6.637 | 0.160,0.113 | 6.473 | 0.189,0.060 | 6.466 | 0.133,0.310 | 6.575 | 0.118,-0.165 | 6.526 | 0.128,9.025,55.692,2017-02-15 11:30:17,3,314
0.147,0.004 | 6.637 | 0.160,0.107 | 6.469 | 0.188,0.059 | 6.471 | 0.132,0.307 | 6.568 | 0.120,-0.167 | 6.527 | 0.127,9.300,54.697,2017-02-15 11:30:17,3,314
0.147,0.004 | 6.637 | 0.161,0.089 | 6.462 | 0.175,0.036 | 6.441 | 0.151,0.296 | 6.554 | 0.122,-0.177 | 6.531 | 0.124,11.322,51.667,2017-02-15 11:30:17,4,314
0.149,0.003 | 6.636 | 0.162,0.049 | 6.436 | 0.155,-0.064 | 6.361 | 0.190,0.260 | 6.526 | 0.112,-0.195 | 6.540 | 0.119,15.796,40.991,2017-02-15 11:30:17,4,314
0.152,-0.010 | 6.635 | 0.163,0.118 | 6.312 | 0.066,-0.152 | 6.346 | 0.212,0.216 | 6.519 | 0.112,-0.225 | 6.545 | 0.116,21.068,30.590,2017-02-15 11:30:18,4,314
0.151,-0.013 | 6.633 | 0.162,0.153 | 6.310 | -0.001,-0.160 | 6.355 | 0.218,0.194 | 6.511 | 0.111,-0.229 | 6.550 | 0.109,20.704,25.973,2017-02-15 11:30:18,4,314
0.150,-0.013 | 6.633 | 0.161,0.106 | 6.311 | 0.021,-0.110 | 6.365 | 0.191,0.191 | 6.509 | 0.109,-0.221 | 6.549 | 0.102,18.464,25.572,2017-02-15 11:30:18,4,314
0.150,-0.012 | 6.633 | 0.161,0.059 | 6.333 | 0.139,-0.082 | 6.364 | 0.146,0.203 | 6.514 | 0.108,-0.215 | 6.549 | 0.099,17.074,28.655,2017-02-15 11:30:18,4,314
0.152,-0.010 | 6.634 | 0.163,0.070 | 6.388 | 0.167,-0.048 | 6.378 | 0.130,0.242 | 6.533 | 0.109,-0.205 | 6.548 | 0.101,14.681,39.875,2017-02-15 11:30:18,4,314
0.150,-0.003 | 6.635 | 0.163,0.094 | 6.412 | 0.169,-0.012 | 6.374 | 0.133,0.272 | 6.547 | 0.104,-0.178 | 6.537 | 0.117,8.520,47.978,2017-02-15 11:30:19,4,314
0.150,-0.007 | 6.638 | 0.163,0.109 | 6.434 | 0.172,-0.014 | 6.359 | 0.138,0.285 | 6.571 | 0.104,-0.173 | 6.529 | 0.126,7.485,52.208,2017-02-15 11:30:19,4,314
0.151,-0.018 | 6.639 | 0.164,0.102 | 6.450 | 0.179,-0.116 | 6.308 | 0.107,0.274 | 6.587 | 0.102,-0.192 | 6.527 | 0.130,10.211,52.165,2017-02-15 11:30:19,4,314
0.151,-0.036 | 6.639 | 0.164,0.078 | 6.461 | 0.183,-0.190 | 6.286 | 0.115,0.250 | 6.598 | 0.106,-0.212 | 6.518 | 0.125,12.063,49.148,2017-02-15 11:30:19,4,314
0.150,-0.042 | 6.639 | 0.164,0.058 | 6.416 | 0.150,-0.192 | 6.289 | 0.112,0.216 | 6.579 | 0.095,-0.229 | 6.519 | 0.122,14.020,41.265,2017-02-15 11:30:19,5,314
0.153,-0.024 | 6.638 | 0.165,0.079 | 6.372 | 0.116,-0.077 | 6.340 | 0.107,0.219 | 6.557 | 0.089,-0.211 | 6.530 | 0.127,12.798,36.959,2017-02-15 11:30:20,5,314
0.149,-0.019 | 6.633 | 0.160,0.082 | 6.353 | 0.118,-0.058 | 6.344 | 0.111,0.215 | 6.542 | 0.089,-0.202 | 6.526 | 0.123,12.494,33.023,2017-02-15 11:30:20,5,314
0.145,-0.021 | 6.632 | 0.155,0.082 | 6.342 | 0.113,-0.093 | 6.322 | 0.104,0.208 | 6.536 | 0.087,-0.206 | 6.525 | 0.116,13.453,30.938,2017-02-15 11:30:20,5,314
0.143,-0.022 | 6.631 | 0.153,0.084 | 6.335 | 0.108,-0.102 | 6.318 | 0.104,0.205 | 6.534 | 0.086,-0.209 | 6.525 | 0.112,13.769,30.522,2017-02-15 11:30:20,5,314
0.143,-0.022 | 6.631 | 0.153,0.085 | 6.333 | 0.107,-0.085 | 6.328 | 0.108,0.204 | 6.533 | 0.086,-0.209 | 6.525 | 0.111,13.643,30.708,2017-02-15 11:30:20,5,314
0.145,-0.022 | 6.632 | 0.155,0.097 | 6.346 | 0.122,-0.061 | 6.347 | 0.119,0.218 | 6.542 | 0.086,-0.209 | 6.527 | 0.113,13.298,35.072,2017-02-15 11:30:21,5,314
0.153,-0.022 | 6.635 | 0.164,0.109 | 6.397 | 0.162,-0.071 | 6.336 | 0.121,0.250 | 6.570 | 0.092,-0.204 | 6.528 | 0.123,12.243,45.801,2017-02-15 11:30:21,5,314
0.157,-0.020 | 6.635 | 0.168,0.123 | 6.430 | 0.175,-0.134 | 6.301 | 0.118,0.272 | 6.592 | 0.100,-0.197 | 6.525 | 0.133,10.755,53.283,2017-02-15 11:30:21,5,314
0.157,-0.020 | 6.636 | 0.169,0.126 | 6.444 | 0.177,-0.130 | 6.300 | 0.109,0.279 | 6.603 | 0.101,-0.191 | 6.524 | 0.138,9.962,55.394,2017-02-15 11:30:21,5,314
0.157,-0.019 | 6.636 | 0.168,0.124 | 6.449 | 0.176,-0.142 | 6.297 | 0.104,0.280 | 6.605 | 0.099,-0.189 | 6.523 | 0.138,9.727,55.338,2017-02-15 11:30:21,5,314
0.156,-0.019 | 6.637 | 0.168,0.121 | 6.452 | 0.175,-0.151 | 6.296 | 0.099,0.279 | 6.605 | 0.097,-0.188 | 6.523 | 0.138,9.703,54.576,2017-02-15 11:30:22,6,314
0.156,-0.015 | 6.636 | 0.168,0.102 | 6.427 | 0.162,-0.116 | 6.306 | 0.149,0.261 | 6.582 | 0.089,-0.190 | 6.527 | 0.135,10.963,46.715,2017-02-15 11:30:22,6,314
0.153,-0.008 | 6.632 | 0.163,0.102 | 6.352 | 0.112,-0.113 | 6.309 | 0.121,0.233 | 6.544 | 0.087,-0.190 | 6.529 | 0.127,12.795,34.525,2017-02-15 11:30:22,6,314
0.142,-0.006 | 6.629 | 0.152,0.110 | 6.319 | 0.102,-0.103 | 6.310 | 0.132,0.219 | 6.525 | 0.086,-0.191 | 6.525 | 0.119,13.453,29.541,2017-02-15 11:30:22,6,314
0.138,-0.007 | 6.629 | 0.148,0.116 | 6.313 | 0.098,-0.085 | 6.318 | 0.126,0.216 | 6.523 | 0.083,-0.193 | 6.525 | 0.115,13.494,29.322,2017-02-15 11:30:22,6,314
0.133,-0.006 | 6.626 | 0.142,0.116 | 6.307 | 0.096,-0.127 | 6.297 | 0.120,0.216 | 6.517 | 0.080,-0.192 | 6.520 | 0.111,13.142,29.356,2017-02-15 11:30:23,6,314
0.129,-0.004 | 6.625 | 0.139,0.093 | 6.289 | 0.122,-0.126 | 6.306 | 0.159,0.191 | 6.497 | 0.089,-0.193 | 6.524 | 0.110,13.442,22.132,2017-02-15 11:30:23,6,314
0.133,-0.006 | 6.626 | 0.143,0.093 | 6.277 | 0.132,-0.130 | 6.312 | 0.169,0.177 | 6.492 | 0.100,-0.199 | 6.528 | 0.112,14.189,19.252,2017-02-15 11:30:23,6,314
0.137,-0.008 | 6.629 | 0.148,0.083 | 6.282 | 0.138,-0.126 | 6.317 | 0.162,0.174 | 6.494 | 0.100,-0.196 | 6.532 | 0.108,12.790,19.366,2017-02-15 11:30:23,6,314
0.139,-0.006 | 6.630 | 0.153,0.094 | 6.284 | 0.142,-0.115 | 6.319 | 0.160,0.175 | 6.497 | 0.091,-0.188 | 6.534 | 0.104,10.738,20.590,2017-02-15 11:30:23,6,314
0.139,-0.004 | 6.630 | 0.155,0.101 | 6.285 | 0.147,-0.111 | 6.319 | 0.163,0.177 | 6.497 | 0.087,-0.184 | 6.533 | 0.104,10.323,21.320,2017-02-15 11:30:24,6,314
0.139,-0.003 | 6.630 | 0.155,0.101 | 6.290 | 0.157,-0.107 | 6.320 | 0.163,0.178 | 6.498 | 0.085,-0.183 | 6.532 | 0.104,10.463,21.638,2017-02-15 11:30:24,7,314
0.141,-0.002 | 6.628 | 0.156,0.093 | 6.333 | 0.197,-0.052 | 6.344 | 0.162,0.198 | 6.506 | 0.081,-0.182 | 6.530 | 0.107,10.975,25.963,2017-02-15 11:30:24,7,314
0.146,-0.003 | 6.628 | 0.161,0.140 | 6.364 | 0.195,-0.117 | 6.304 | 0.135,0.230 | 6.536 | 0.065,-0.179 | 6.528 | 0.116,10.922,34.985,2017-02-15 11:30:24,7,314
0.153,-0.016 | 6.632 | 0.167,0.145 | 6.406 | 0.186,-0.159 | 6.296 | 0.119,0.252 | 6.579 | 0.073,-0.193 | 6.526 | 0.120,12.259,46.142,2017-02-15 11:30:24,7,314
0.156,-0.020 | 6.634 | 0.170,0.136 | 6.430 | 0.184,-0.162 | 6.298 | 0.104,0.259 | 6.596 | 0.078,-0.200 | 6.527 | 0.124,12.715,50.744,2017-02-15 11:30:25,7,314
0.156,-0.019 | 6.634 | 0.170,0.131 | 6.441 | 0.186,-0.143 | 6.302 | 0.102,0.263 | 6.601 | 0.079,-0.196 | 6.527 | 0.126,12.095,51.597,2017-02-15 11:30:25,7,314
0.156,-0.018 | 6.635 | 0.170,0.131 | 6.447 | 0.186,-0.156 | 6.298 | 0.100,0.267 | 6.603 | 0.080,-0.193 | 6.527 | 0.127,11.798,52.175,2017-02-15 11:30:25,7,314
0.156,-0.017 | 6.635 | 0.170,0.131 | 6.452 | 0.185,-0.153 | 6.298 | 0.105,0.271 | 6.606 | 0.081,-0.191 | 6.527 | 0.127,11.738,52.992,2017-02-15 11:30:25,7,314
0.156,-0.016 | 6.634 | 0.169,0.125 | 6.430 | 0.184,-0.074 | 6.327 | 0.157,0.253 | 6.590 | 0.073,-0.191 | 6.526 | 0.127,11.970,45.852,2017-02-15 11:30:26,7,314
0.146,-0.013 | 6.632 | 0.159,0.107 | 6.354 | 0.174,-0.127 | 6.302 | 0.131,0.184 | 6.543 | 0.062,-0.193 | 6.524 | 0.112,13.541,21.886,2017-02-15 11:30:26,7,314
0.140,-0.008 | 6.632 | 0.154,0.104 | 6.326 | 0.148,-0.133 | 6.312 | 0.146,0.170 | 6.531 | 0.060,-0.194 | 6.531 | 0.096,14.523,16.879,2017-02-15 11:30:26,7,314
0.141,-0.005 | 6.631 | 0.155,0.112 | 6.314 | 0.139,-0.111 | 6.327 | 0.161,0.174 | 6.525 | 0.063,-0.189 | 6.535 | 0.091,13.856,17.791,2017-02-15 11:30:26,8,314
0.142,-0.004 | 6.631 | 0.156,0.118 | 6.318 | 0.154,-0.094 | 6.334 | 0.164,0.177 | 6.524 | 0.064,-0.187 | 6.535 | 0.092,13.404,18.890,2017-02-15 11:30:26,8,314
0.144,-0.007 | 6.629 | 0.157,0.088 | 6.364 | 0.204,-0.103 | 6.316 | 0.123,0.182 | 6.524 | 0.063,-0.188 | 6.532 | 0.098,12.712,21.400,2017-02-15 11:30:27,8,314
0.149,-0.011 | 6.630 | 0.163,0.146 | 6.381 | 0.175,-0.154 | 6.300 | 0.107,0.219 | 6.559 | 0.043,-0.190 | 6.531 | 0.110,11.928,35.992,2017-02-15 11:30:27,8,314
0.155,-0.012 | 6.632 | 0.169,0.155 | 6.415 | 0.173,-0.148 | 6.298 | 0.115,0.261 | 6.590 | 0.061,-0.185 | 6.528 | 0.126,10.700,50.006,2017-02-15 11:30:27,8,314
0.156,-0.013 | 6.633 | 0.170,0.143 | 6.450 | 0.186,-0.137 | 6.300 | 0.096,0.280 | 6.606 | 0.080,-0.182 | 6.525 | 0.134,10.201,55.292,2017-02-15 11:30:27,8,314
