Session: 322,Game:,Wingman,User:,Survivor3
Game No.:,0
Day:,15,Month:,Feb,Year:,2017
Track:,Temple,Speed:,fast,Time:,30 (sec),
Target Angle:,42,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0.062,0.006 | 6.653 | 0.063,0.052 | 6.445 | 0.154,0.019 | 6.480 | 0.140,0.236 | 6.569 | 0.082,-0.178 | 6.544 | 0.035,19.209,22.753,2017-02-15 13:47:04,1,318
0.062,0.007 | 6.653 | 0.063,0.115 | 6.493 | 0.177,-0.104 | 6.484 | 0.121,0.298 | 6.618 | 0.104,-0.175 | 6.610 | -0.062,26.418,41.162,2017-02-15 13:47:04,1,318
0.061,0.013 | 6.652 | 0.061,0.135 | 6.538 | 0.184,-0.249 | 6.417 | -0.154,0.325 | 6.657 | 0.119,-0.176 | 6.620 | -0.065,33.771,48.931,2017-02-15 13:47:04,1,318
0.060,0.016 | 6.652 | 0.060,0.143 | 6.560 | 0.184,-0.212 | 6.423 | -0.182,0.336 | 6.675 | 0.123,-0.175 | 6.621 | -0.065,35.797,52.772,2017-02-15 13:47:04,1,318
0.060,0.017 | 6.652 | 0.059,0.102 | 6.545 | 0.190,-0.210 | 6.421 | -0.181,0.305 | 6.629 | 0.112,-0.175 | 6.620 | -0.065,36.241,37.942,2017-02-15 13:47:05,1,318
0.059,0.015 | 6.653 | 0.059,0.032 | 6.502 | 0.172,-0.027 | 6.379 | 0.115,0.229 | 6.571 | 0.068,-0.180 | 6.541 | 0.046,25.665,15.413,2017-02-15 13:47:05,1,318
0.059,0.011 | 6.653 | 0.060,-0.029 | 6.483 | 0.126,0.016 | 6.476 | 0.128,0.180 | 6.553 | 0.048,-0.203 | 6.543 | 0.084,27.166,5.647,2017-02-15 13:47:05,1,318
0.059,0.008 | 6.653 | 0.061,-0.041 | 6.467 | 0.105,0.005 | 6.471 | 0.080,0.168 | 6.550 | 0.041,-0.213 | 6.551 | 0.060,28.334,4.430,2017-02-15 13:47:05,1,318
0.059,0.006 | 6.653 | 0.061,-0.034 | 6.459 | 0.100,0.009 | 6.471 | 0.066,0.171 | 6.550 | 0.036,-0.209 | 6.550 | 0.050,26.620,5.748,2017-02-15 13:47:05,1,318
0.059,0.006 | 6.653 | 0.061,-0.029 | 6.458 | 0.098,0.014 | 6.470 | 0.065,0.175 | 6.551 | 0.032,-0.205 | 6.549 | 0.048,25.379,6.965,2017-02-15 13:47:06,1,318
