Session: 323,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,15,Month:,Feb,Year:,2017
Track:,Temple,Speed:,fast,Time:,30 (sec),
Target Angle:,53,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
0.007,-0.009 | 6.651 | 0.012,-0.001 | 6.493 | 0.116,-0.122 | 6.642 | 0.183,0.178 | 6.539 | -0.026,-0.333 | 6.740 | 0.159,76.475,19.190,2017-02-15 13:50:16,1,319
0.008,-0.009 | 6.651 | 0.013,-0.041 | 6.602 | 0.129,-0.115 | 6.655 | 0.180,0.163 | 6.529 | 0.043,-0.333 | 6.732 | 0.154,73.235,15.806,2017-02-15 13:50:16,1,319
0.009,-0.008 | 6.651 | 0.013,-0.048 | 6.597 | 0.142,-0.118 | 6.659 | 0.179,0.157 | 6.528 | 0.056,-0.337 | 6.733 | 0.146,73.106,14.546,2017-02-15 13:50:16,1,319
0.009,-0.008 | 6.651 | 0.014,-0.042 | 6.575 | 0.142,-0.129 | 6.633 | 0.178,0.162 | 6.526 | 0.041,-0.335 | 6.668 | 0.074,56.811,15.607,2017-02-15 13:50:16,1,319
0.010,-0.004 | 6.650 | 0.015,0.030 | 6.493 | 0.110,-0.036 | 6.568 | 0.110,0.217 | 6.545 | -0.020,-0.215 | 6.576 | -0.040,19.764,27.745,2017-02-15 13:50:16,1,319
0.009,0.004 | 6.651 | 0.016,0.134 | 6.437 | 0.036,0.018 | 6.536 | 0.073,0.257 | 6.597 | -0.080,-0.200 | 6.552 | -0.007,20.932,36.086,2017-02-15 13:50:17,1,319
0.009,0.006 | 6.651 | 0.018,0.123 | 6.454 | 0.007,-0.001 | 6.530 | 0.107,0.251 | 6.614 | -0.105,-0.213 | 6.551 | 0.012,26.617,34.253,2017-02-15 13:50:17,1,319
0.010,0.006 | 6.651 | 0.019,0.072 | 6.477 | 0.022,-0.009 | 6.468 | 0.026,0.228 | 6.600 | -0.101,-0.224 | 6.555 | 0.008,30.424,25.272,2017-02-15 13:50:17,1,319
0.010,0.004 | 6.651 | 0.019,0.016 | 6.474 | 0.052,-0.114 | 6.485 | 0.054,0.201 | 6.564 | -0.058,-0.299 | 6.618 | 0.006,54.232,15.895,2017-02-15 13:50:17,1,319
0.008,0.001 | 6.650 | 0.016,0.000 | 6.454 | 0.085,-0.182 | 6.562 | 0.081,0.185 | 6.544 | -0.026,-0.347 | 6.718 | 0.026,76.918,14.216,2017-02-15 13:50:18,1,319
0.006,-0.003 | 6.649 | 0.014,-0.018 | 6.444 | 0.108,-0.182 | 6.612 | 0.085,0.160 | 6.533 | -0.013,-0.354 | 6.763 | 0.038,84.369,10.708,2017-02-15 13:50:18,1,319
0.005,-0.005 | 6.650 | 0.012,-0.009 | 6.427 | 0.114,-0.228 | 6.588 | 0.084,0.165 | 6.529 | -0.002,-0.356 | 6.777 | 0.037,92.799,13.211,2017-02-15 13:50:18,1,319
0.005,-0.005 | 6.650 | 0.012,0.003 | 6.426 | 0.116,-0.197 | 6.593 | 0.095,0.174 | 6.530 | -0.003,-0.355 | 6.753 | 0.034,81.122,15.749,2017-02-15 13:50:18,1,319
0.005,-0.005 | 6.650 | 0.012,0.012 | 6.428 | 0.113,-0.166 | 6.601 | 0.086,0.181 | 6.532 | -0.010,-0.352 | 6.728 | 0.023,74.650,17.733,2017-02-15 13:50:18,1,319
0.005,-0.005 | 6.650 | 0.012,0.027 | 6.431 | 0.104,-0.124 | 6.596 | 0.112,0.194 | 6.537 | -0.019,-0.298 | 6.638 | -0.038,47.637,21.192,2017-02-15 13:50:19,1,319
0.005,-0.004 | 6.650 | 0.012,0.045 | 6.437 | 0.091,-0.087 | 6.589 | 0.113,0.209 | 6.546 | -0.035,-0.230 | 6.597 | -0.071,26.381,24.849,2017-02-15 13:50:19,1,319
0.005,-0.002 | 6.650 | 0.013,0.074 | 6.449 | 0.061,-0.061 | 6.592 | 0.108,0.231 | 6.568 | -0.064,-0.215 | 6.586 | -0.068,22.699,31.204,2017-02-15 13:50:19,1,319
0.005,-0.002 | 6.650 | 0.013,0.078 | 6.455 | 0.055,-0.057 | 6.594 | 0.108,0.236 | 6.574 | -0.068,-0.211 | 6.583 | -0.067,21.906,32.622,2017-02-15 13:50:19,1,319
