Session: 403,Game:,Wingman,User:,Survivor2
Game No.:,2
Day:,10,Month:,Mar,Year:,2017
Track:,Forest,Speed:,medium,Time:,60 (sec),
Target Angle:,51,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,0,-2.589,False
2,0,5.774,False
3,0,6.384,False
4,0,3.780,False
5,0,2.910,False
6,0,-7.521,True
7,0,-8.271,True
8,0,2.923,True
9,0,-13.160,True
10,0,3.519,True
11,0,3.432,True
12,0,3.630,True
13,0,3.967,True

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
-0.083,-0.044 | 6.658 | -0.082,0.000 | 6.518 | 0.357,-0.244 | 6.434 | 0.076,0.041 | 6.624 | 0.153,-0.189 | 6.542 | -0.123,3.974,-13.665,2017-03-10 10:21:51,1,327
-0.065,-0.070 | 6.647 | -0.067,0.048 | 6.495 | 0.374,-0.228 | 6.289 | -0.024,0.073 | 6.611 | 0.173,-0.197 | 6.519 | -0.046,2.692,5.413,2017-03-10 10:21:52,1,327
-0.041,-0.080 | 6.644 | -0.044,0.017 | 6.480 | 0.379,-0.178 | 6.297 | -0.078,0.063 | 6.605 | 0.188,-0.213 | 6.517 | -0.011,6.527,2.140,2017-03-10 10:21:52,1,327
-0.028,-0.083 | 6.643 | -0.031,0.017 | 6.469 | 0.382,-0.155 | 6.394 | 0.183,0.058 | 6.602 | 0.195,-0.217 | 6.517 | -0.005,7.289,0.461,2017-03-10 10:21:52,1,327
-0.021,-0.083 | 6.643 | -0.024,0.023 | 6.470 | 0.388,-0.056 | 6.519 | 0.160,0.056 | 6.602 | 0.198,-0.221 | 6.518 | -0.005,8.261,-0.011,2017-03-10 10:21:52,1,327
-0.017,-0.078 | 6.645 | -0.020,0.027 | 6.472 | 0.390,-0.040 | 6.518 | 0.144,0.059 | 6.603 | 0.199,-0.218 | 6.521 | -0.007,8.368,-0.245,2017-03-10 10:21:52,1,327
-0.010,-0.071 | 6.645 | -0.013,0.018 | 6.439 | 0.365,-0.145 | 6.550 | 0.264,0.069 | 6.599 | 0.203,-0.232 | 6.534 | 0.049,13.303,0.943,2017-03-10 10:21:53,1,327
-0.002,-0.070 | 6.646 | -0.005,0.022 | 6.431 | 0.352,-0.199 | 6.558 | 0.364,0.074 | 6.599 | 0.198,-0.255 | 6.568 | 0.138,21.528,1.548,2017-03-10 10:21:53,1,327
0.027,-0.069 | 6.649 | 0.020,-0.015 | 6.420 | 0.319,-0.195 | 6.533 | 0.462,0.065 | 6.605 | 0.202,-0.190 | 6.598 | 0.238,1.781,-0.890,2017-03-10 10:21:53,1,327
0.064,-0.064 | 6.649 | 0.058,0.053 | 6.497 | 0.446,-0.224 | 6.543 | 0.499,0.079 | 6.614 | 0.246,-0.175 | 6.599 | 0.278,-3.778,4.341,2017-03-10 10:21:53,1,327
0.083,-0.056 | 6.647 | 0.077,0.053 | 6.510 | 0.476,-0.233 | 6.553 | 0.510,0.090 | 6.617 | 0.272,-0.164 | 6.597 | 0.292,-5.667,6.162,2017-03-10 10:21:53,1,327
0.089,-0.053 | 6.647 | 0.084,0.040 | 6.503 | 0.475,-0.238 | 6.557 | 0.511,0.092 | 6.619 | 0.279,-0.162 | 6.597 | 0.294,-5.862,6.141,2017-03-10 10:21:54,1,327
0.087,-0.053 | 6.647 | 0.082,0.044 | 6.497 | 0.468,-0.234 | 6.555 | 0.510,0.095 | 6.622 | 0.278,-0.160 | 6.598 | 0.292,-6.146,7.158,2017-03-10 10:21:54,1,327
0.017,-0.046 | 6.645 | 0.010,0.139 | 6.524 | 0.390,-0.238 | 6.522 | 0.427,0.162 | 6.599 | 0.171,-0.235 | 6.575 | 0.200,21.005,23.761,2017-03-10 10:21:54,1,327
