Session: 146,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,18,Month:,Sep,Year:,2017
Track:,Forest,Speed:,slow,Time:,120 (sec),
Target Angle:,45,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,10,45.242,False
2,9,43.640,False
3,10,44.356,False
4,10,44.483,False
5,10,44.648,False
6,10,44.478,False
7,7,41.365,False
8,10,45.282,False
9,9,46.337,False
10,3,52.271,False
11,10,44.515,False
12,10,45.225,False
13,9,46.694,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
-0.065,0.018 | 6.673 | -0.040,0.290 | 6.324 | 0.000,-0.135 | 6.330 | 0.046,0.202 | 6.522 | -0.086,-0.191 | 6.544 | -0.026,20.611,17.961,2017-09-18 19:24:18,1,51
-0.066,0.016 | 6.673 | -0.041,0.283 | 6.324 | 0.003,-0.143 | 6.330 | 0.045,0.199 | 6.522 | -0.086,-0.197 | 6.544 | -0.030,21.650,17.616,2017-09-18 19:24:19,1,51
-0.067,0.014 | 6.673 | -0.042,0.136 | 6.360 | 0.066,-0.290 | 6.356 | 0.072,0.199 | 6.523 | -0.088,-0.205 | 6.546 | -0.033,23.409,17.956,2017-09-18 19:24:19,1,51
-0.067,0.012 | 6.673 | -0.043,0.145 | 6.342 | 0.042,-0.300 | 6.364 | 0.078,0.202 | 6.525 | -0.090,-0.209 | 6.548 | -0.033,24.369,18.923,2017-09-18 19:24:19,1,51
-0.067,0.012 | 6.673 | -0.043,0.169 | 6.331 | 0.033,-0.291 | 6.361 | 0.080,0.203 | 6.525 | -0.092,-0.209 | 6.548 | -0.032,24.325,19.356,2017-09-18 19:24:19,1,51
-0.067,0.012 | 6.673 | -0.043,0.192 | 6.320 | 0.017,-0.287 | 6.359 | 0.081,0.203 | 6.526 | -0.092,-0.208 | 6.548 | -0.031,23.984,19.536,2017-09-18 19:24:20,1,51
-0.068,0.012 | 6.673 | -0.043,0.216 | 6.315 | 0.007,-0.284 | 6.358 | 0.084,0.203 | 6.526 | -0.092,-0.206 | 6.547 | -0.029,23.283,19.634,2017-09-18 19:24:20,1,51
-0.068,0.011 | 6.673 | -0.044,0.194 | 6.323 | 0.022,-0.281 | 6.357 | 0.085,0.203 | 6.526 | -0.093,-0.204 | 6.546 | -0.028,22.583,19.852,2017-09-18 19:24:20,1,51
-0.069,0.011 | 6.673 | -0.044,0.135 | 6.351 | 0.040,-0.322 | 6.377 | 0.081,0.208 | 6.527 | -0.096,-0.213 | 6.550 | -0.032,24.940,21.205,2017-09-18 19:24:20,1,51
-0.070,0.011 | 6.673 | -0.045,0.434 | 6.425 | -0.029,-0.422 | 6.466 | 0.084,0.267 | 6.560 | -0.120,-0.263 | 6.583 | -0.040,40.030,38.300,2017-09-18 19:24:20,1,51
-0.072,0.012 | 6.673 | -0.045,0.488 | 6.475 | -0.061,-0.482 | 6.549 | 0.084,0.291 | 6.581 | -0.126,-0.293 | 6.618 | -0.033,51.663,45.899,2017-09-18 19:24:21,1,51
-0.074,0.014 | 6.673 | -0.046,0.498 | 6.489 | -0.058,-0.487 | 6.557 | 0.086,0.298 | 6.588 | -0.127,-0.296 | 6.628 | -0.028,54.447,47.675,2017-09-18 19:24:21,1,51
-0.075,0.016 | 6.673 | -0.047,0.490 | 6.480 | -0.045,-0.457 | 6.516 | 0.098,0.299 | 6.587 | -0.125,-0.284 | 6.616 | -0.021,50.393,47.302,2017-09-18 19:24:21,1,51
-0.074,0.017 | 6.673 | -0.048,0.482 | 6.469 | -0.034,-0.441 | 6.495 | 0.102,0.296 | 6.582 | -0.118,-0.273 | 6.604 | -0.018,46.339,45.765,2017-09-18 19:24:21,1,51
-0.074,0.017 | 6.673 | -0.047,0.480 | 6.467 | -0.029,-0.438 | 6.493 | 0.101,0.294 | 6.579 | -0.114,-0.269 | 6.601 | -0.017,45.260,45.017,2017-09-18 19:24:21,1,51
-0.073,0.017 | 6.673 | -0.046,0.481 | 6.468 | -0.026,-0.438 | 6.493 | 0.101,0.295 | 6.579 | -0.112,-0.269 | 6.600 | -0.017,45.159,44.934,2017-09-18 19:24:22,1,51
-0.071,0.017 | 6.673 | -0.045,0.481 | 6.468 | -0.026,-0.439 | 6.494 | 0.103,0.295 | 6.579 | -0.111,-0.269 | 6.600 | -0.016,45.206,44.952,2017-09-18 19:24:22,1,51
-0.071,0.017 | 6.673 | -0.044,0.480 | 6.466 | -0.026,-0.439 | 6.496 | 0.105,0.294 | 6.578 | -0.110,-0.269 | 6.600 | -0.015,45.242,44.900,2017-09-18 19:24:22,1,51
-0.071,0.017 | 6.673 | -0.044,0.480 | 6.466 | -0.026,-0.439 | 6.496 | 0.105,0.294 | 6.578 | -0.110,-0.269 | 6.600 | -0.015,45.242,44.900,2017-09-18 19:24:22,1,51
-0.070,0.017 | 6.673 | -0.044,0.478 | 6.462 | -0.027,-0.439 | 6.496 | 0.106,0.294 | 6.578 | -0.110,-0.269 | 6.600 | -0.014,45.193,44.748,2017-09-18 19:24:22,2,51
-0.070,0.017 | 6.673 | -0.043,0.477 | 6.460 | -0.027,-0.439 | 6.496 | 0.106,0.293 | 6.577 | -0.109,-0.269 | 6.600 | -0.014,45.105,44.580,2017-09-18 19:24:23,2,51
-0.071,0.017 | 6.673 | -0.043,0.444 | 6.423 | -0.022,-0.399 | 6.451 | 0.112,0.278 | 6.565 | -0.105,-0.259 | 6.591 | -0.012,41.549,39.841,2017-09-18 19:24:23,2,51
-0.070,0.017 | 6.673 | -0.043,0.368 | 6.373 | 0.003,-0.311 | 6.381 | 0.109,0.235 | 6.537 | -0.097,-0.219 | 6.563 | -0.005,28.711,27.196,2017-09-18 19:24:23,2,51
-0.069,0.016 | 6.673 | -0.043,0.342 | 6.364 | 0.023,-0.275 | 6.359 | 0.101,0.219 | 6.530 | -0.086,-0.201 | 6.552 | -0.008,23.134,23.075,2017-09-18 19:24:23,2,51
-0.068,0.016 | 6.673 | -0.043,0.329 | 6.358 | 0.030,-0.265 | 6.355 | 0.100,0.215 | 6.528 | -0.081,-0.197 | 6.548 | -0.011,21.876,22.153,2017-09-18 19:24:23,2,51
-0.068,0.015 | 6.673 | -0.043,0.321 | 6.352 | 0.031,-0.260 | 6.354 | 0.102,0.213 | 6.528 | -0.078,-0.197 | 6.548 | -0.012,21.745,21.742,2017-09-18 19:24:24,2,51
-0.067,0.015 | 6.673 | -0.043,0.313 | 6.347 | 0.031,-0.251 | 6.353 | 0.106,0.211 | 6.527 | -0.077,-0.196 | 6.547 | -0.011,21.400,21.219,2017-09-18 19:24:24,2,51
-0.067,0.014 | 6.673 | -0.042,0.310 | 6.345 | 0.030,-0.248 | 6.352 | 0.107,0.209 | 6.526 | -0.076,-0.195 | 6.546 | -0.010,21.011,20.859,2017-09-18 19:24:24,2,51
-0.067,0.013 | 6.673 | -0.042,0.309 | 6.344 | 0.030,-0.248 | 6.352 | 0.107,0.208 | 6.526 | -0.075,-0.195 | 6.546 | -0.010,20.874,20.733,2017-09-18 19:24:24,2,51
-0.067,0.013 | 6.673 | -0.042,0.309 | 6.344 | 0.030,-0.249 | 6.352 | 0.107,0.207 | 6.526 | -0.075,-0.196 | 6.546 | -0.010,20.816,20.684,2017-09-18 19:24:24,2,51
-0.067,0.012 | 6.673 | -0.042,0.309 | 6.344 | 0.030,-0.250 | 6.352 | 0.107,0.206 | 6.526 | -0.075,-0.196 | 6.546 | -0.010,20.730,20.783,2017-09-18 19:24:25,2,51
-0.067,0.012 | 6.673 | -0.042,0.308 | 6.344 | 0.030,-0.250 | 6.351 | 0.107,0.206 | 6.526 | -0.075,-0.196 | 6.546 | -0.010,20.670,20.825,2017-09-18 19:24:25,2,51
-0.067,0.011 | 6.673 | -0.042,0.308 | 6.344 | 0.030,-0.251 | 6.351 | 0.106,0.205 | 6.526 | -0.075,-0.197 | 6.546 | -0.010,20.596,20.880,2017-09-18 19:24:25,2,51
-0.067,0.011 | 6.673 | -0.042,0.307 | 6.344 | 0.030,-0.251 | 6.351 | 0.106,0.205 | 6.526 | -0.074,-0.197 | 6.546 | -0.010,20.572,20.855,2017-09-18 19:24:25,2,51
-0.067,0.010 | 6.673 | -0.042,0.306 | 6.343 | 0.030,-0.251 | 6.351 | 0.106,0.204 | 6.526 | -0.074,-0.197 | 6.546 | -0.010,20.569,20.741,2017-09-18 19:24:26,2,51
-0.067,0.010 | 6.673 | -0.042,0.305 | 6.343 | 0.029,-0.251 | 6.351 | 0.107,0.204 | 6.526 | -0.074,-0.197 | 6.546 | -0.010,20.572,20.591,2017-09-18 19:24:26,2,51
-0.067,0.010 | 6.673 | -0.042,0.305 | 6.343 | 0.029,-0.251 | 6.351 | 0.107,0.204 | 6.526 | -0.074,-0.197 | 6.546 | -0.010,20.549,20.447,2017-09-18 19:24:26,2,51
-0.067,0.010 | 6.673 | -0.042,0.304 | 6.342 | 0.029,-0.250 | 6.352 | 0.108,0.203 | 6.526 | -0.074,-0.197 | 6.545 | -0.010,20.505,20.370,2017-09-18 19:24:26,2,51
