Session: 147,Game:,Wingman,User:,Survivor2
Game No.:,0
Day:,18,Month:,Sep,Year:,2017
Track:,Forest,Speed:,medium,Time:,60 (sec),
Target Angle:,46,Angle Incr:,1

BASIC DATA
Ring Num,Score,Arm Angle,Assisted
0,0,0.000,False
1,8,48.150,False
2,0,23.769,False
3,10,45.562,False
4,6,50.184,False
5,10,46.871,False
6,0,21.538,False
7,2,54.795,False
8,6,41.315,False
9,8,43.532,False
10,10,46.230,False
11,5,51.273,False
12,8,43.325,False
13,9,44.179,False

RAW DATA
BodyDepth, CentralPont (X | Y | Z),RightHand (X | Y | Z),LeftHand (X | Y | Z),RightElbow (X | Y | Z),LeftElbow (X | Y | Z),LeftAngle,RightAngle,Time,RingNumber,AchievementID
0.025,-0.022 | 6.668 | 0.053,0.480 | 6.490 | 0.061,-0.553 | 6.546 | 0.061,0.274 | 6.585 | 0.006,-0.337 | 6.617 | 0.010,57.043,50.999,2017-09-18 19:28:45,2,53
0.024,-0.023 | 6.668 | 0.053,0.458 | 6.468 | 0.092,-0.534 | 6.521 | 0.102,0.278 | 6.589 | 0.007,-0.342 | 6.625 | 0.021,58.788,52.538,2017-09-18 19:28:46,2,53
0.024,-0.023 | 6.668 | 0.053,0.424 | 6.431 | 0.107,-0.472 | 6.443 | 0.127,0.261 | 6.572 | 0.017,-0.318 | 6.594 | 0.037,48.732,46.466,2017-09-18 19:28:46,2,53
0.024,-0.023 | 6.668 | 0.053,0.414 | 6.420 | 0.106,-0.465 | 6.431 | 0.121,0.253 | 6.565 | 0.020,-0.308 | 6.583 | 0.040,44.849,43.530,2017-09-18 19:28:46,2,53
0.024,-0.023 | 6.668 | 0.053,0.434 | 6.441 | 0.096,-0.509 | 6.474 | 0.096,0.255 | 6.567 | 0.017,-0.318 | 6.591 | 0.032,47.952,44.251,2017-09-18 19:28:46,2,53
0.024,-0.024 | 6.668 | 0.053,0.447 | 6.457 | 0.091,-0.526 | 6.497 | 0.089,0.262 | 6.574 | 0.013,-0.329 | 6.604 | 0.026,52.186,46.673,2017-09-18 19:28:46,2,53
0.022,-0.023 | 6.668 | 0.052,0.452 | 6.461 | 0.088,-0.527 | 6.501 | 0.088,0.266 | 6.579 | 0.010,-0.336 | 6.614 | 0.019,55.271,48.041,2017-09-18 19:28:47,2,53
0.020,-0.022 | 6.668 | 0.050,0.410 | 6.416 | 0.098,-0.366 | 6.364 | 0.134,0.256 | 6.568 | 0.009,-0.273 | 6.555 | 0.038,33.129,44.158,2017-09-18 19:28:47,2,53
0.017,-0.021 | 6.668 | 0.046,0.342 | 6.371 | 0.122,-0.314 | 6.339 | 0.139,0.221 | 6.541 | 0.019,-0.235 | 6.536 | 0.044,22.499,32.748,2017-09-18 19:28:47,2,53
0.015,-0.020 | 6.668 | 0.043,0.329 | 6.361 | 0.120,-0.315 | 6.341 | 0.141,0.207 | 6.533 | 0.021,-0.228 | 6.535 | 0.044,21.059,28.320,2017-09-18 19:28:47,2,53
0.014,-0.019 | 6.668 | 0.042,0.359 | 6.369 | 0.088,-0.387 | 6.374 | 0.122,0.214 | 6.535 | 0.014,-0.254 | 6.547 | 0.039,28.620,30.025,2017-09-18 19:28:47,2,53
0.014,-0.019 | 6.668 | 0.042,0.374 | 6.376 | 0.077,-0.403 | 6.382 | 0.115,0.224 | 6.541 | 0.006,-0.269 | 6.556 | 0.035,33.302,33.088,2017-09-18 19:28:48,2,53
0.014,-0.018 | 6.668 | 0.042,0.373 | 6.377 | 0.081,-0.363 | 6.359 | 0.122,0.227 | 6.542 | 0.005,-0.259 | 6.550 | 0.038,30.210,33.816,2017-09-18 19:28:48,2,53
0.015,-0.018 | 6.669 | 0.043,0.369 | 6.376 | 0.086,-0.342 | 6.347 | 0.122,0.226 | 6.542 | 0.007,-0.247 | 6.543 | 0.039,26.669,33.689,2017-09-18 19:28:48,2,53
0.016,-0.019 | 6.669 | 0.045,0.365 | 6.372 | 0.088,-0.335 | 6.343 | 0.122,0.224 | 6.540 | 0.009,-0.241 | 6.540 | 0.040,24.785,33.152,2017-09-18 19:28:48,2,53
0.017,-0.020 | 6.668 | 0.046,0.362 | 6.370 | 0.089,-0.335 | 6.342 | 0.123,0.221 | 6.539 | 0.011,-0.240 | 6.539 | 0.041,24.155,32.774,2017-09-18 19:28:48,2,53
0.019,-0.021 | 6.668 | 0.047,0.360 | 6.369 | 0.088,-0.336 | 6.342 | 0.124,0.220 | 6.539 | 0.012,-0.240 | 6.538 | 0.042,23.990,32.558,2017-09-18 19:28:49,2,53
0.020,-0.021 | 6.668 | 0.048,0.359 | 6.368 | 0.088,-0.337 | 6.342 | 0.124,0.219 | 6.538 | 0.013,-0.240 | 6.538 | 0.043,23.916,32.405,2017-09-18 19:28:49,2,53
0.021,-0.022 | 6.668 | 0.049,0.359 | 6.367 | 0.087,-0.335 | 6.341 | 0.125,0.218 | 6.538 | 0.013,-0.240 | 6.537 | 0.044,23.793,32.307,2017-09-18 19:28:49,2,53
0.021,-0.022 | 6.668 | 0.050,0.359 | 6.367 | 0.087,-0.335 | 6.340 | 0.126,0.218 | 6.538 | 0.013,-0.240 | 6.537 | 0.044,23.769,32.304,2017-09-18 19:28:49,2,53
0.021,-0.022 | 6.668 | 0.050,0.375 | 6.379 | 0.083,-0.371 | 6.356 | 0.112,0.222 | 6.540 | 0.013,-0.250 | 6.541 | 0.041,26.389,33.565,2017-09-18 19:28:49,3,53
0.022,-0.022 | 6.668 | 0.051,0.457 | 6.460 | 0.068,-0.477 | 6.437 | 0.086,0.262 | 6.571 | 0.005,-0.298 | 6.573 | 0.025,41.208,46.193,2017-09-18 19:28:50,3,53
0.022,-0.022 | 6.668 | 0.051,0.436 | 6.443 | 0.099,-0.438 | 6.407 | 0.114,0.267 | 6.577 | 0.011,-0.296 | 6.572 | 0.031,40.548,48.194,2017-09-18 19:28:50,3,53
0.023,-0.022 | 6.668 | 0.052,0.389 | 6.403 | 0.119,-0.400 | 6.377 | 0.117,0.237 | 6.552 | 0.025,-0.279 | 6.559 | 0.036,35.387,38.004,2017-09-18 19:28:50,3,53
0.024,-0.022 | 6.669 | 0.053,0.347 | 6.375 | 0.126,-0.345 | 6.346 | 0.124,0.208 | 6.534 | 0.026,-0.253 | 6.543 | 0.041,27.487,29.126,2017-09-18 19:28:50,3,53
0.024,-0.021 | 6.669 | 0.052,0.322 | 6.363 | 0.134,-0.320 | 6.337 | 0.131,0.193 | 6.527 | 0.029,-0.238 | 6.537 | 0.044,23.256,24.915,2017-09-18 19:28:50,3,53
0.023,-0.021 | 6.669 | 0.052,0.319 | 6.359 | 0.136,-0.317 | 6.336 | 0.132,0.194 | 6.527 | 0.034,-0.232 | 6.535 | 0.045,21.899,25.279,2017-09-18 19:28:51,3,53
0.023,-0.021 | 6.669 | 0.052,0.314 | 6.352 | 0.132,-0.306 | 6.333 | 0.138,0.196 | 6.528 | 0.033,-0.229 | 6.534 | 0.047,20.981,25.861,2017-09-18 19:28:51,3,53
0.024,-0.021 | 6.669 | 0.052,0.250 | 6.323 | 0.133,-0.258 | 6.320 | 0.147,0.179 | 6.521 | 0.033,-0.209 | 6.527 | 0.051,15.600,21.162,2017-09-18 19:28:51,3,53
0.024,-0.021 | 6.669 | 0.052,0.238 | 6.318 | 0.131,-0.251 | 6.319 | 0.149,0.169 | 6.517 | 0.032,-0.201 | 6.525 | 0.053,13.634,18.555,2017-09-18 19:28:51,3,53
0.025,-0.021 | 6.669 | 0.052,0.241 | 6.318 | 0.129,-0.257 | 6.320 | 0.150,0.167 | 6.516 | 0.032,-0.201 | 6.525 | 0.053,13.535,18.035,2017-09-18 19:28:52,3,53
0.025,-0.021 | 6.669 | 0.053,0.321 | 6.352 | 0.117,-0.360 | 6.356 | 0.129,0.188 | 6.524 | 0.033,-0.236 | 6.537 | 0.050,23.237,23.774,2017-09-18 19:28:52,3,53
0.026,-0.021 | 6.669 | 0.053,0.422 | 6.423 | 0.091,-0.477 | 6.445 | 0.105,0.242 | 6.554 | 0.021,-0.296 | 6.574 | 0.035,41.365,39.481,2017-09-18 19:28:52,3,53
0.026,-0.021 | 6.669 | 0.054,0.457 | 6.462 | 0.087,-0.515 | 6.492 | 0.099,0.267 | 6.576 | 0.013,-0.322 | 6.601 | 0.028,50.561,47.819,2017-09-18 19:28:52,3,53
0.025,-0.021 | 6.669 | 0.054,0.459 | 6.465 | 0.091,-0.521 | 6.499 | 0.099,0.273 | 6.583 | 0.014,-0.329 | 6.610 | 0.027,53.369,49.953,2017-09-18 19:28:52,3,53
0.025,-0.021 | 6.669 | 0.054,0.457 | 6.462 | 0.093,-0.520 | 6.497 | 0.097,0.274 | 6.583 | 0.015,-0.329 | 6.611 | 0.028,53.583,50.033,2017-09-18 19:28:53,3,53
0.025,-0.020 | 6.669 | 0.054,0.456 | 6.459 | 0.092,-0.519 | 6.493 | 0.092,0.274 | 6.583 | 0.015,-0.328 | 6.610 | 0.026,53.352,49.805,2017-09-18 19:28:53,3,53
